Coin Name,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Price_to_MarketCap_Ratio,Volatility_Index
SPACE ID,0.23,0.2,-5.2,-20.6,29.2,5746712.0,286000000.0,2000000000.0,66689039.0,3.4488426201493172e-09,-2.5
SSV Network,17.46,1.0,1.5,-3.5,37.9,20515085.0,7085673.0,11.1,123731884.0,1.4111156668397615e-07,1.25
STASIS EURO,1.08,0.2,-0.7,0.2,2.2,2375581.0,124125940.0,124000000.0,134777380.0,8.013214086814866e-09,-0.24999999999999997
STEPN,0.27,1.2,-0.9,7.8,78.8,152470737.0,1381830966.0,5.37,98370357.0,2.7447292887226183e-09,0.14999999999999997
STP,0.06,0.0,-5.3,-3.7,10.3,6785349.0,1942420283.0,1.94,125474483.0,4.781848752467065e-10,-2.65
SX Network,0.18,-0.1,-0.4,-3.8,-5.9,79747.0,355189001.0,1000000000.0,62877986.0,2.8626871096030335e-09,-0.25
SXP,0.33,0.2,-6.3,-8.4,16.1,17142564.0,585067686.0,585000000.0,191985775.0,1.7188773491161e-09,-3.05
SafePal,0.64,0.0,-4.4,-4.8,0.0,9425285.0,420833333.0,500000000.0,268693602.0,2.381895196745325e-09,-2.2
Saitama,0.615,0.2,-0.4,4.9,-16.6,690613.0,44802593111.0,44.8,43310082.0,1.4199926936180818e-08,-0.1
Secret,0.34,0.2,-3.8,-7.7,26.8,5746712.0,266482066.0,283000000.0,98370357.0,3.456325770984038e-09,-1.7999999999999998
Seedify.fund,1.93,-0.4,6.1,28.6,207.1,9450341.0,58248607.0,120000000.0,112402660.0,1.7170412159285197e-08,2.8499999999999996
Sei,0.17,5.4,8.1,3.7,66.4,5746712.0,1800000000.0,10000000000.0,313952989.0,5.41482342759285e-10,6.75
Sentinel Protocol,0.08,0.2,-1.6,-11.3,11.0,2595477.0,491736120.0,120000000.0,37428753.0,2.137394211343349e-09,-0.7000000000000001
Shadow Token,0.47,5.4,32.0,11.0,21.5,955916.0,153730630.0,169000000.0,72120594.0,6.516862576034801e-09,18.7
Shardus,0.14,0.3,1.5,1.1,-4.8,3885.0,439556760.0,1000000000.0,62413317.0,2.2431110334994694e-09,0.9
Share,0.615,2.4,5.3,-3.5,34.5,112384.0,0.0,4.4,53555387.0,1.1483438631486316e-08,3.8499999999999996
Shiba Inu,0.615,0.3,-4.2,-7.1,9.9,214418543.0,589326636861240.0,1000000000000000.0,4682520125.0,1.3133953161600133e-10,-1.9500000000000002
Short-term T-Bill Token,0.99,0.2,-1.6,-3.5,21.5,5746712.0,111511434.0,120000000.0,98370357.0,1.0064007391982933e-08,-0.7000000000000001
Siacoin,0.615,-1.9,-3.0,-3.5,44.0,5746712.0,51477015000.0,120000000.0,231275248.0,2.6591691299364643e-09,-2.45
Sidus,0.615,0.4,5.3,25.6,332.6,1768400.0,24418024645.0,29.5,90558547.0,6.791186700466826e-09,2.85
SingularityNET,0.29,-0.2,0.4,14.7,56.2,100368709.0,1241997271.0,1.35,354623894.0,8.17767795421027e-10,0.1
SmarDex,0.01,-0.1,-1.6,11.1,21.5,5746712.0,354412760.0,10000000000.0,99024076.0,1.009855421422968e-10,-0.8500000000000001
Smooth Love Potion,0.615,-0.4,-4.1,2.3,59.9,5746712.0,41283864685.0,120000000.0,95815267.0,6.418601327907378e-09,-2.25
Solend,0.91,0.2,-1.5,-1.9,83.5,80964.0,37120572.0,100000000.0,33688603.0,2.7012102579617208e-08,-0.65
Sologenic,0.11,0.0,-1.5,-6.2,-0.5,2258296.0,399198717.0,399000000.0,43488325.0,2.529414503777738e-09,-0.75
Sommelier,0.17,0.2,0.3,12.8,43.4,89351.0,249643969.0,500000000.0,41525038.0,4.093915579318675e-09,0.25
Songbird,0.615,-0.3,-1.6,-6.1,2.4,268552.0,14482530245.0,17.7,98370357.0,6.251883379868185e-09,-0.9500000000000001
Stacks,0.61,0.0,-2.9,-3.5,-6.2,23968051.0,1421837341.0,1.82,861520742.0,7.080502769833486e-10,-1.45
Stader ETHx,2046.01,-0.1,1.9,0.7,21.0,49621.0,37719.0,37.7,77159639.0,2.651658336555981e-05,0.8999999999999999
Stader MaticX,0.615,0.2,-1.6,-16.4,26.0,244643.0,93394260.0,93.4,77043366.0,7.98251727475147e-09,-0.7000000000000001
Staked Frax Ether,2159.99,0.6,1.7,1.1,21.2,921580.0,205820.0,206000.0,444561266.0,4.858700397888465e-06,1.15
Star Atlas,0.615,-0.6,-1.9,-6.8,21.5,1443290.0,14371629460.0,36000000000.0,43273730.0,1.421185555301103e-08,-1.25
Star Atlas DAO,0.31,0.6,-6.4,-5.0,21.5,626176.0,236079069.0,360000000.0,73607245.0,4.211541948078616e-09,-2.9000000000000004
Stargate Finance,0.53,0.2,-0.7,-6.3,25.7,48370749.0,204348516.0,1000000000.0,107777769.0,4.917526173695431e-09,-0.24999999999999997
Status,0.04,0.1,-3.1,-10.4,47.2,4373033.0,3960483788.0,6.8,156286637.0,2.5593998801061926e-10,-1.5
